,name,lang,ocr,domain,B tokens
41,EuroparlAligned.it-en,it-en,false,aligned,0.151
39,Gutenberg.it,it,false,book,0.131
38,Eurovoc.it,it,true,legi_written,1.527
37,Wikipedia.it,it,false,wiki,1.959
27,CroissantAligned,fr-en,false,aligned,25.351
28,EuroparlAligned.fr-en,fr-en,false,aligned,0.143
10,Gutenberg.fr,fr,false,book,0.391
0,GallicaMonographies,fr,true,book,25.424
45,Claire.fr,fr,false,dialogue,0.046
11,AssembleeNationale,fr,false,legi_dialogue,0.187
12,Senat,fr,false,legi_dialogue,0.076
13,FREDSum,fr,false,legi_dialogue,0.001
15,Europarl.fr,fr,false,legi_dialogue,0.072
7,interventions_parlement,fr,false,legi_spoken,0.157
14,DiscoursPublics,fr,false,legi_spoken,0.238
6,questions_ecrites_parlement,fr,false,legi_written,0.156
8,LEGI,fr,false,legi_written,0.145
9,amendements_parlement,fr,false,legi_written,0.074
48,OpenData,fr,false,legi_written,1.209
46,GallicaPress,fr,true,newspaper,116.987
4,OpenEdition,fr,false,technical,3.604
1,HAL,fr,true,technical,16.224
2,Theses,fr,true,technical,16.165
3,Persee,fr,true,technical,5.754
5,Wikipedia.fr,fr,false,wiki,2.94
51,Wikiother.fr,fr,false,wiki,0.912
40,EuroparlAligned.es-en,es-en,false,aligned,0.143
36,Gutenberg.es,es,false,book,0.094
35,Europarl.es,es,false,legi_dialogue,0.073
34,Eurovoc.es,es,true,legi_written,1.411
33,Wikipedia.es,es,false,wiki,2.124
24,Gutenberg.en,en,false,book,5.661
44,Claire.en,en,false,dialogue,1.161
17,StackExchange,en,false,forum,10.275
20,Ubuntu_IRC,en,false,forum,2.159
26,Europarl.en,en,false,legi_dialogue,0.069
16,FreeLaw,en,false,legi_written,14.011
25,Eurovoc.en,en,true,legi_written,2.571
19,DM_Mathematics,en,false,math,4.928
47,MathPile,en,false,math,9.636
43,AmericanStories,en,true,newspaper,14.313
18,USPTO_Backgrounds,en,false,technical,5.105
21,PhilPapers,en,false,technical,0.618
22,NIH_ExPorter,en,false,technical,0.431
49,PeS2o,en,mixed,technical,65.365
23,Wikipedia.en,en,false,wiki,7.898
42,EuroparlAligned.de-fr,de-fr,false,aligned,0.141
31,Gutenberg.de,de,false,book,0.198
32,Europarl.de,de,false,legi_dialogue,0.073
30,Eurovoc.de,de,true,legi_written,1.497
29,Wikipedia.de,de,false,wiki,3.476
50,TheStack,code,false,programming,228.954
