language,name           ,subset       , M pages, B words, B chars,#words/page,#chars/word
---     ,---            ,---          , 226.401, 182.382,1424.757,        806,  7.8
fr      ,---            ,---          ,  11.866, 112.292, 684.228,       9463,  6.1
fr      ,GallicaPress   ,html         ,   1.798,  46.988, 286.245,      26135,  6.1
fr      ,GallicaPress   ,txt          ,   1.189,  22.775, 136.313,      19162,  6.0
fr      ,GallicaMono    ,             ,   0.290,  16.407,  98.603,      56660,  6.0
fr      ,Hal            ,             ,   0.356,   9.653,  60.118,      27114,  6.2
fr      ,Theses         ,             ,   0.106,   8.536,  53.568,      80231,  6.3
fr      ,Persee         ,             ,   1.100,   3.250,  20.314,       2955,  6.2
fr      ,OpenEdition    ,             ,   0.942,   2.225,  14.459,       2360,  6.5
fr      ,WikipediaFr    ,             ,   2.613,   1.698,   9.787,        650,  5.8
fr      ,DiscoursPublics,             ,   0.110,   0.163,   1.026,       1482,  6.3
fr      ,ClaireFr       ,AssembleeNati,   0.004,   0.130,   0.822,      28841,  6.3
fr      ,Parlement      ,questions_ecr,   0.189,   0.108,   0.705,        572,  6.5
fr      ,Parlement      ,interventions,   1.832,   0.104,   0.654,         57,  6.3
fr      ,LEGI           ,             ,   0.621,   0.088,   0.576,        142,  6.5
fr      ,EuroparlFr     ,             ,   0.010,   0.053,   0.339,       5129,  6.4
fr      ,ClaireFr       ,Senat        ,   0.001,   0.051,   0.330,      69631,  6.4
fr      ,Parlement      ,amendements  ,   0.673,   0.045,   0.274,         67,  6.1
fr      ,ClaireFr       ,Theatre      ,   0.031,   0.017,   0.096,        538,  5.7
en      ,---            ,---          ,  85.687,  16.780,  96.036,        196,  5.7
en      ,AmericanStories,             ,  77.888,  11.203,  64.212,        144,  5.7
en      ,WikipediaEn    ,             ,   6.839,   4.702,  26.776,        688,  5.7
en      ,ClaireEn       ,MediaSum     ,   0.458,   0.738,   4.226,       1611,  5.7
en      ,ClaireEn       ,DialogStudio ,   0.473,   0.061,   0.378,        129,  6.2
en      ,EuroparlEn     ,             ,   0.011,   0.056,   0.339,       5071,  6.0
en      ,ClaireEn       ,BNC          ,   0.001,   0.011,   0.060,      11760,  5.6
en      ,ClaireEn       ,OANC         ,   0.004,   0.005,   0.027,       1366,  5.6
en      ,ClaireEn       ,DailyDialog  ,   0.013,   0.001,   0.007,         97,  5.9
en      ,ClaireEn       ,ICSI         ,   0.000,   0.001,   0.006,      11841,  6.2
en      ,ClaireEn       ,AMI          ,   0.000,   0.001,   0.005,       5744,  6.3
en      ,ClaireEn       ,ETELECSC     ,   0.000,   0.000,   0.000,       4384,  5.3
de      ,---            ,---          ,   2.920,   1.774,  11.779,        607,  6.6
de      ,WikipediaDe    ,             ,   2.910,   1.729,  11.452,        594,  6.6
de      ,EuroparlDe     ,             ,   0.010,   0.045,   0.327,       4444,  7.2
es      ,---            ,---          ,   0.010,   0.052,   0.325,       5086,  6.2
es      ,EuroparlEs     ,             ,   0.010,   0.052,   0.325,       5086,  6.2
code    ,---            ,---          , 125.918,  51.485, 632.389,        409, 12.3
code    ,TheStack       ,javascript   ,  21.109,   8.526, 141.647,        404, 16.6
code    ,TheStack       ,java         ,  20.152,   7.421,  89.297,        368, 12.0
code    ,TheStack       ,c            ,   8.626,   5.916,  57.428,        686,  9.7
code    ,TheStack       ,python       ,  12.962,   5.434,  64.304,        419, 11.8
code    ,TheStack       ,php          ,  15.905,   4.865,  66.844,        306, 13.7
code    ,TheStack       ,c++          ,   6.378,   4.584,  50.892,        719, 11.1
code    ,TheStack       ,c#           ,  10.839,   3.574,  46.286,        330, 13.0
code    ,TheStack       ,go           ,   4.730,   2.735,  25.738,        578,  9.4
code    ,TheStack       ,typescript   ,  10.637,   2.617,  28.815,        246, 11.0
code    ,TheStack       ,rust         ,   1.387,   0.872,   9.529,        629, 10.9
code    ,TheStack       ,ruby         ,   3.405,   0.646,   7.139,        190, 11.1
code    ,TheStack       ,tex          ,   0.548,   0.573,   5.444,       1046,  9.5
code    ,TheStack       ,swift        ,   1.756,   0.553,   6.134,        315, 11.1
code    ,TheStack       ,scala        ,   1.362,   0.457,   4.862,        335, 10.6
code    ,TheStack       ,kotlin       ,   2.243,   0.454,   5.769,        202, 12.7
code    ,TheStack       ,lua          ,   0.559,   0.318,   3.279,        570, 10.3
code    ,TheStack       ,dart         ,   0.933,   0.308,   3.864,        331, 12.5
code    ,TheStack       ,haskell      ,   0.545,   0.307,   2.364,        563,  7.7
code    ,TheStack       ,perl         ,   0.392,   0.297,   2.634,        757,  8.9
code    ,TheStack       ,assembly     ,   0.248,   0.209,   1.575,        840,  7.5
code    ,TheStack       ,fortran      ,   0.165,   0.192,   1.843,       1158,  9.6
code    ,TheStack       ,julia        ,   0.299,   0.152,   1.539,        510, 10.1
code    ,TheStack       ,ocaml        ,   0.160,   0.130,   1.107,        812,  8.5
code    ,TheStack       ,mathematica  ,   0.027,   0.120,   1.720,       4454, 14.4
code    ,TheStack       ,elixir       ,   0.282,   0.073,   0.737,        259, 10.1
code    ,TheStack       ,erlang       ,   0.099,   0.066,   0.726,        661, 11.0
code    ,TheStack       ,clojure      ,   0.126,   0.045,   0.492,        355, 11.0
code    ,TheStack       ,r            ,   0.039,   0.028,   0.305,        711, 10.9
code    ,TheStack       ,matlab       ,   0.001,   0.009,   0.037,       8940,  4.3
code    ,TheStack       ,racket       ,   0.004,   0.005,   0.038,       1141,  7.9
